SensorId, QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g)
4.0,0.71039999,-0.56449997,-0.32359999,-0.26789999,0.0,0.003,0.0
4.0,0.71039999,-0.56459999,-0.32349998,-0.2678,0.0,0.004,0.0
4.0,0.71039999,-0.56470001,-0.32339999,-0.26769999,-0.001,0.005,-0.001
4.0,0.71039999,-0.56479996,-0.3233,-0.2676,-0.001,0.001,-0.002
4.0,0.71039999,-0.56489998,-0.3233,-0.2676,0.0,0.001,-0.004
4.0,0.71029997,-0.56489998,-0.32319999,-0.2676,0.002,0.003,-0.004
4.0,0.71029997,-0.565,-0.32319999,-0.2676,0.002,0.004,-0.005
4.0,0.71020001,-0.56510001,-0.3231,-0.2676,0.001,0.003,-0.004
4.0,0.71020001,-0.56519997,-0.3231,-0.26749998,-0.001,0.001,-0.005
4.0,0.71020001,-0.56529999,-0.3231,-0.2674,-0.001,0.0,-0.004
4.0,0.71020001,-0.56529999,-0.3231,-0.2674,0.0,-0.001,-0.002
4.0,0.71020001,-0.56529999,-0.32299998,-0.2674,0.002,-0.001,-0.001
4.0,0.71020001,-0.5654,-0.3229,-0.2674,0.003,0.002,0.0
4.0,0.71029997,-0.5654,-0.32279998,-0.2674,0.003,0.006,0.0
4.0,0.71029997,-0.5654,-0.32269999,-0.26729998,0.001,0.005,-0.003
4.0,0.71029997,-0.56549996,-0.32259998,-0.26719999,0.0,0.002,-0.005
4.0,0.71029997,-0.56559998,-0.32249999,-0.26710001,0.0,0.0,-0.007
4.0,0.71029997,-0.56569999,-0.32249999,-0.26699999,0.001,-0.001,-0.009
4.0,0.71029997,-0.56580001,-0.3224,-0.2669,0.003,0.001,-0.008
4.0,0.71039999,-0.56580001,-0.32229999,-0.26679999,0.001,0.003,-0.006
4.0,0.71039999,-0.56580001,-0.3222,-0.2667,-0.002,0.002,-0.002
4.0,0.7105,-0.56580001,-0.32209998,-0.26659998,-0.005,0.0,0.0
4.0,0.71059996,-0.56580001,-0.32209998,-0.2665,-0.004,0.0,0.001
4.0,0.71069998,-0.56569999,-0.32209998,-0.2665,-0.002,0.0,0.001
4.0,0.71069998,-0.56559998,-0.32209998,-0.2665,0.0,0.0,0.001
4.0,0.71069998,-0.56559998,-0.32209998,-0.26659998,0.002,0.002,0.0
4.0,0.71069998,-0.56549996,-0.32209998,-0.2667,0.003,0.003,0.0
4.0,0.71069998,-0.56549996,-0.32209998,-0.26679999,0.001,0.005,-0.001
