SensorId, QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g)
1.0,0.82779998,-0.51379997,-0.19119999,-0.11889999,0.002,-0.001,0.0
1.0,0.82779998,-0.51379997,-0.19119999,-0.1188,0.0,-0.002,0.001
1.0,0.82779998,-0.51370001,-0.19119999,-0.1188,-0.001,-0.001,0.001
1.0,0.82779998,-0.51370001,-0.19119999,-0.1188,0.0,-0.001,0.0
1.0,0.82779998,-0.51370001,-0.19129999,-0.1188,-0.002,-0.001,0.0
1.0,0.82779998,-0.51370001,-0.19129999,-0.1188,-0.001,0.0,0.0
1.0,0.82779998,-0.51370001,-0.19129999,-0.1188,0.0,-0.002,0.0
1.0,0.82779998,-0.51370001,-0.19129999,-0.11889999,0.001,-0.002,0.0
1.0,0.82779998,-0.51370001,-0.19119999,-0.11889999,0.001,-0.001,0.001
1.0,0.82779998,-0.51370001,-0.19119999,-0.11889999,0.0,-0.001,0.0
1.0,0.82779998,-0.51379997,-0.19119999,-0.11889999,0.002,-0.002,0.0
1.0,0.82779998,-0.51379997,-0.19119999,-0.11889999,0.001,-0.001,0.0
1.0,0.82779998,-0.51379997,-0.19119999,-0.11889999,0.0,-0.002,0.0
1.0,0.82779998,-0.51379997,-0.19119999,-0.11889999,0.001,-0.001,0.0
1.0,0.82779998,-0.51379997,-0.19119999,-0.11889999,0.001,-0.002,0.0
1.0,0.82779998,-0.51370001,-0.19129999,-0.11889999,-0.003,-0.002,0.002
