Var1_1,Var1_2,Var1_3,Var1_4
0.0149326004210817,-0.00186983177714351,0.00821321419154131,0.00236188307307045
0.0151321857541106,-0.00167086077545433,0.0083913742805567,0.00235287883580876
0.0151231276577176,-0.00147188667382423,0.00855080887611764,0.00235287883580876
0.0153136598349278,-0.00145949730336954,0.00855097688200201,0.00254799108935833
0.0153046039833212,-0.00124812503451848,0.00872919150365359,0.00253898127295962
0.0153047938489088,-0.00104914044369072,0.00871229006194335,0.00253898127295962
0.0152957209961588,-0.00106153551874322,0.00871229006194335,0.00253898127295962
0.0154952947057951,-0.00105169564676376,0.00871229006194335,0.00255781266914612
0.0156795010428522,-0.00106406960739893,0.00869539440622102,0.00255781266914612
0.0156704514651205,-0.000852707522918675,0.00869539440622102,0.00255781266914612
0.0158700332656645,-0.000852707522918675,0.00869539440622102,0.00255781266914612
0.0160723688989481,-0.000840330027102661,0.00869539440622102,0.00255781266914612
0.0160660740189334,-0.000653716347040201,0.00865985982285339,0.00275295086311736
0.0160660740189334,-0.000653716347040201,0.00865985982285339,0.00274395237126779
0.0158664879180889,-0.00045472213102573,0.0088380861434274,0.00274395237126779
0.0158664879180889,-0.000249612439913574,0.0090163352642581,0.00274395237126779
0.0156669038003892,-0.000268107503157755,0.00881944512162885,0.002753819750795
0.0156578939893487,-6.9109406016496e-05,0.00881944512162885,0.00294892201218772
0.0156516160302281,-8.14928299132656e-05,0.00880081163649804,0.00294892201218772
0.0158512030538438,-9.38748971716988e-05,0.00860395571335515,0.00294892201218772
0.0158422148142236,-9.38748971716988e-05,0.00856855483678171,0.00294892201218772
0.0160418049865024,-0.000103787130917972,0.00854996231486499,0.00293993435316353
0.016232411732359,-0.000103787130917972,0.00854996231486499,0.00274483541096102
0.0162172142630664,-0.000103787130917972,0.00856720691619994,0.00276135984069709
0.0162234268456707,-0.000103787130917972,0.0085504760192045,0.00275237024370475
0.0162144424710076,-0.000103787130917972,0.0085319221584349,0.00275237024370475
0.016014846854757,-0.00012611819668551,0.0085319221584349,0.00275237024370475
0.015806267050045,-0.000138537021307908,0.00831785133892132,0.00273345902460523
0.0156066742413753,-0.000138537021307908,0.00812110579650011,0.00274246823525251
0.0155976874565683,-0.000138537021307908,0.00794293460717266,0.00272594764862175
0.0153891080993607,-0.000138537021307908,0.00778148910630955,0.00253081940266567
0.0153891080993607,-0.000138537021307908,0.00760338323736465,0.00253081940266567
0.0155887011973625,-0.000349936444657452,0.00758481493562368,0.00253081940266567
0.0155887011973625,-0.000349936444657452,0.00758481493562368,0.00234471690833574
0.0155887011973625,-0.000349936444657452,0.00776292199760653,0.00234471690833574
0.0155887011973625,-0.000349936444657452,0.00776292199760653,0.00235371104858859
0.0155887011973625,-0.000349936444657452,0.00758481493562368,0.00236270291561433
0.0153891080993607,-0.000349936444657452,0.00758481493562368,0.00216756307646207
0.0151956592449041,-0.00057131031029261,0.00737076813660315,0.00216756307646207
0.0149960719136994,-0.000561327115203507,0.00720937583321279,0.00216756307646207
0.0147936028105287,-0.000573737475659392,0.00703130819397224,0.00198139295350025
0.0145849895188064,-0.000573737475659392,0.00703130819397224,0.00178622869157991
0.0145759594226869,-0.000772709007984311,0.00685326343827769,0.0017952033956766
0.0145669298735347,-0.000772709007984311,0.00685326343827769,0.0015836159634082
0.0145579008719011,-0.000772709007984311,0.00685326343827769,0.00138844572578561
0.0145579008719011,-0.000984082098041801,0.00685136436748462,0.00138844572578561
0.0143492862065861,-0.000974063339267923,0.00667332534395854,0.00119326497274086
0.0141436699150144,-0.000961678473003831,0.00645931027452379,0.00119326497274086
0.0139350747611682,-0.000971677498351413,0.00626271312071947,0.000998073715416797
0.0135359112275879,-0.000974063339267923,0.00608474629461569,0.000998073715416797
0.0133363326312912,-0.000974063339267923,0.00592351439145727,0.000998073715416797
