SensorId, TimeStamp (s), FrameNumber, QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g),rm0,rm1,rm2,rm3,rm4,rm5,rm6,rm7,rm8
4,3.92,392,-0.65889996,0.74860001,0.0241,0.068,-0.15300001,0.24000001,-0.1,0.23836336852256884,0.6957771124854168,0.677552296349167,0.6621432027643686,0.3939393478282979,-0.637477975514103,-0.7104570948196084,0.6005880451474793,-0.3668033757293012
4,3.93,393,-0.65869999,0.74839997,0.0193,0.0741,-0.13100001,0.27600002,-0.123,0.23822337666078028,0.6956989031465588,0.677681827241229,0.6620588113782633,0.39419555946053586,-0.6374072412343591,-0.7105826856100121,0.6005105303508592,-0.36668699165499796
4,3.94,394,-0.6584,0.74809998,0.0148,0.0808,-0.133,0.287,-0.104,0.23801334757697024,0.6955814487202076,0.677876164628542,0.6619320820576228,0.39457995247947897,-0.6373010119591472,-0.7107711059954993,0.6003941283003938,-0.3665123812156219
4,3.95,395,-0.65799999,0.74769998,0.0102,0.0878,-0.16800001,0.27500001,-0.068,0.23773326121607186,0.6954245969616627,0.6781353304852059,0.6617628616721144,0.39509256358969924,-0.6371591489633128,-0.7110223705503959,0.6002386992995603,-0.36627952773812933
4,3.96,396,-0.6573,0.7475,0.0057,0.0948,-0.18300001,0.22400001,-0.047,0.23724304383253172,0.6951494656675973,0.6785889466644217,0.6614660823551727,0.39598975428623995,-0.6369103048263728,-0.7114621283292424,0.5999661114449525,-0.36587197907307323
4,3.97,397,-0.65630001,0.74739999,0.0013,0.1021,-0.21100001,0.17,-0.019,0.2365425428855428,0.694754979116271,0.6792371783098972,0.661040661648848,0.3972718037476801,-0.6365534993964905,-0.7120904921792555,0.5995753771964076,-0.36528960840364877
4,3.98,398,-0.65499997,0.7475,-0.0028,0.1098,-0.20900001,0.164,0.021,0.23563152839614626,0.6942395880289423,0.6800802726436792,0.6604850401185172,0.39893913287909083,-0.636087321078891,-0.7129076339928877,0.5990650738201017,-0.3645322245338253
4,3.99,399,-0.65329999,0.74769998,-0.0066,0.118,-0.24200001,0.185,0.031,0.2344397041536677,0.6935613052538401,0.6811833387355641,0.6597541263284163,0.4011203970654832,-0.6354737758953212,-0.7139765527725463,0.598393802535269,-0.36354138578490963
4,4.0,400,-0.65169996,0.74759996,-0.0102,0.1267,-0.30600002,0.19700001,0.066,0.23331739490909284,0.6929183980902429,0.6822221682273939,0.6590616579354205,0.4031744356342557,-0.6348921998972855,-0.7149830237650749,0.5977578674003811,-0.3626083392431828
4,4.01,401,-0.65020001,0.74729997,-0.0139,0.1355,-0.34100002,0.18700001,0.08000001,0.23226480217159873,0.6923117265968136,0.6831965565550857,0.6584085038968471,0.4051008797854314,-0.6343433764085381,-0.71592688430349,0.597158061499305,-0.3617332524359473
