,loss,accuracy,binary_accuracy,categorical_accuracy,val_loss,val_accuracy,val_binary_accuracy,val_categorical_accuracy
24,0.20316824316978455,0.8953636884689331,0.5,0.849851131439209,0.2052115648984909,0.8819444179534912,0.5,0.9335317611694336
25,0.203978031873703,0.8855805993080139,0.5,0.9166312217712402,0.22288545966148376,0.8928571343421936,0.5,0.7916666865348816
26,0.19577109813690186,0.891960859298706,0.5,0.8455976247787476,0.20818524062633514,0.9117063283920288,0.5,0.8125
27,0.19851955771446228,0.8902594447135925,0.5,0.8515525460243225,0.20939373970031738,0.9117063283920288,0.5,0.8184523582458496
28,0.20554380118846893,0.8932369351387024,0.5,0.8749468326568604,0.1971088945865631,0.9117063283920288,0.5,0.8184523582458496
29,0.19879424571990967,0.8915355205535889,0.5,0.8672904968261719,0.20630939304828644,0.8878968358039856,0.5,0.8720238208770752
30,0.19413290917873383,0.8962143659591675,0.5,0.8804764151573181,0.20366254448890686,0.8849206566810608,0.5,0.89682537317276
31,0.19791412353515625,0.8936622738838196,0.5,0.8702679872512817,0.2093503177165985,0.908730149269104,0.5,0.8095238208770752
32,0.19518180191516876,0.8851552605628967,0.5,0.8651637434959412,0.18907012045383453,0.89682537317276,0.5,0.8591269850730896
33,0.19448968768119812,0.8872820138931274,0.5,0.8553807139396667,0.19156457483768463,0.8938491940498352,0.5,0.8720238208770752
34,0.1944083869457245,0.8936622738838196,0.5,0.8515525460243225,0.18794308602809906,0.9027777910232544,0.5,0.8432539701461792
35,0.1886524260044098,0.894512951374054,0.5,0.8447468876838684,0.20298811793327332,0.8829365372657776,0.5,0.9226190447807312
36,0.1995435506105423,0.8898341059684753,0.5,0.8723947405815125,0.18602238595485687,0.903769850730896,0.5,0.8482142686843872
37,0.19709427654743195,0.8894087672233582,0.5,0.8515525460243225,0.18852351605892181,0.8908730149269104,0.5,0.8928571343421936
38,0.1977173089981079,0.8974904417991638,0.5,0.868141233921051,0.1891506165266037,0.8898809552192688,0.5,0.8938491940498352
39,0.1972312033176422,0.8928115963935852,0.5,0.8779242634773254,0.2007780373096466,0.870039701461792,0.5,0.9930555820465088
40,0.18899497389793396,0.8970651030540466,0.5,0.849851131439209,0.2248033881187439,0.8769841194152832,0.5,0.9801587462425232
41,0.19729477167129517,0.8923861980438232,0.5,0.8868566751480103,0.1836918592453003,0.9067460298538208,0.5,0.8472222089767456
42,0.19166302680969238,0.8932369351387024,0.5,0.8766482472419739,0.19487877190113068,0.9017857313156128,0.5,0.8025793433189392
43,0.19367054104804993,0.897915780544281,0.5,0.8430455327033997,0.18788987398147583,0.89682537317276,0.5,0.8789682388305664
44,0.19148136675357819,0.891960859298706,0.5,0.8864312767982483,0.19752942025661469,0.886904776096344,0.5,0.9007936716079712
45,0.18584899604320526,0.8928115963935852,0.5,0.8566567301750183,0.19065189361572266,0.8928571343421936,0.5,0.9265872836112976
46,0.19623973965644836,0.8940876126289368,0.5,0.8689919114112854,0.1851830929517746,0.9057539701461792,0.5,0.8521825671195984
47,0.19175347685813904,0.8949383497238159,0.5,0.8672904968261719,0.1879826784133911,0.8839285969734192,0.5,0.903769850730896
48,0.18666359782218933,0.8898341059684753,0.5,0.8502764701843262,0.1923811286687851,0.9117063283920288,0.5,0.83432537317276
49,0.18664757907390594,0.8957890272140503,0.5,0.8536792993545532,0.18913571536540985,0.886904776096344,0.5,0.9067460298538208
50,0.18264122307300568,0.8940876126289368,0.5,0.8604848980903625,0.18384520709514618,0.8938491940498352,0.5,0.8978174328804016
51,0.19291990995407104,0.8864312767982483,0.5,0.8868566751480103,0.18190862238407135,0.9027777910232544,0.5,0.8035714030265808
52,0.18148508667945862,0.8915355205535889,0.5,0.8570820689201355,0.1771879494190216,0.9117063283920288,0.5,0.8382936716079712
53,0.18178902566432953,0.8949383497238159,0.5,0.8732454180717468,0.1794656366109848,0.9047619104385376,0.5,0.8055555820465088
